OrderID,CustomerID,CustomerName,City,ProductID,ProductName,Category,OrderDate,Quantity,UnitPrice,Amount
81,101,Rahim,Dhaka,201,Laptop,Electronics,2025-06-12,4,50000,200000
82,102,Karim,Khulna,202,Mouse,Electronics,2025-06-14,4,1000,4000
83,103,Jamil,Dhaka,203,Keyboard,Electronics,2025-06-16,2,1500,3000
84,104,Salma,Chattogram,204,Printer,Electronics,2025-06-18,4,15000,60000
85,105,Nadia,Rajshahi,205,Monitor,Electronics,2025-06-20,5,12000,60000
86,106,Sohan,Sylhet,206,Router,Networking,2025-06-22,2,3000,6000
87,107,Tania,Dhaka,207,SSD,Storage,2025-06-24,5,6000,30000
88,108,Rifat,Khulna,208,HDD,Storage,2025-06-26,3,5000,15000
89,109,Imran,Barisal,209,UPS,Power,2025-06-28,2,8000,16000
90,110,Nila,Rangpur,210,Scanner,Electronics,2025-06-30,4,10000,40000
91,101,Rahim,Dhaka,201,Laptop,Electronics,2025-07-02,4,50000,200000
92,102,Karim,Khulna,202,Mouse,Electronics,2025-07-04,4,1000,4000
93,103,Jamil,Dhaka,203,Keyboard,Electronics,2025-07-06,3,1500,4500
94,104,Salma,Chattogram,204,Printer,Electronics,2025-07-08,1,15000,15000
95,105,Nadia,Rajshahi,205,Monitor,Electronics,2025-07-10,1,12000,12000
96,106,Sohan,Sylhet,206,Router,Networking,2025-07-12,4,3000,12000
97,107,Tania,Dhaka,207,SSD,Storage,2025-07-14,1,6000,6000
98,108,Rifat,Khulna,208,HDD,Storage,2025-07-16,4,5000,20000
99,109,Imran,Barisal,209,UPS,Power,2025-07-18,5,8000,40000
100,110,Nila,Rangpur,210,Scanner,Electronics,2025-07-20,2,10000,20000
